"Jenis Kelamin","Tempat lahir","Tanggal lahir","Tinggi badan (dalam centimeter)","IPK (gunakan titik sebagai pemisah, contoh: 3.92)","Rencana Pilihan Bidang Riset (Tidak berpengaruh ke mana-mana)","Rata-rata penggunaan kuota data dalm sebulan (satuan MB, contoh isian: 300, 1000, 10000)"
"Pria","Jakarta","8/13/1998",,3.47,"Multimedia dan Grafika Komputer",10000
"Pria","manado","4/14/1999",171,3.83,"Sistem Data dan Jaringan",0
"Pria","Manado","5/17/1999",170,3.46,"Sistem Informasi",150000
"Wanita","Tomohon","3/16/1999",150,3.6,"Sistem Informasi",5000
"Pria","Manado","2/9/1998",164,3.44,"Multimedia dan Grafika Komputer",5000
"Pria","Ternate","11/18/1998",175,3.46,"Sistem Data dan Jaringan",30000
"Pria","Manado","2/5/1996",173,2.77,"Sistem Informasi",7000
"Pria","Kotamobagu","3/17/1996",171,3.05,"Multimedia dan Grafika Komputer",25000
"Pria","Mokupa","12/9/1997",174,2.9,"Sistem Informasi",30000
"Pria","Palu","7/30/1997",169,2.89,"Multimedia dan Grafika Komputer",6000
"Pria","Manado","2/25/1997",170,3.1,"Multimedia dan Grafika Komputer",25000
"Pria","Manado","5/2/1996",173,2.77,"Sistem Informasi",7000
