"Jenis Kelamin","Tempat lahir","Tanggal lahir","Tinggi badan (dalam centimeter)","IPK (gunakan titik sebagai pemisah, contoh: 3.92)","Rencana Pilihan Bidang Riset (Tidak berpengaruh ke mana-mana)","Rata-rata penggunaan kuota data dalm sebulan (satuan MB, contoh isian: 300, 1000, 10000)"
"Pria","Manado","1/29/1998",180,3.2,"Multimedia dan Grafika Komputer",6000
"Wanita","Tawaan","4/28/1997",160,3.61,"Multimedia dan Grafika Komputer",4000
"Wanita","Bunta","10/20/1997",160,3.18,"Multimedia dan Grafika Komputer",20000
"Wanita","Ambon","3/5/1997",168,2.38,"Multimedia dan Grafika Komputer",70000
"Wanita","Tomohon","8/25/1997",145,3.81,"Sistem Data dan Jaringan",20000
"Wanita","Kotamobagu","5/21/1996",150,3.42,"Multimedia dan Grafika Komputer",4000
"Pria","Ratahan","9/30/1997",160,3.51,"Sistem Informasi",4000
"Pria","Manado","3/20/1998",181,3.78,"Multimedia dan Grafika Komputer",8000
"Pria","Manado","10/2/1997",175,3.75,"Sistem Data dan Jaringan",20000
"Wanita","Kiawa","6/13/1996",160,3.82,"Sistem Data dan Jaringan",8000
"Wanita","Manado","7/25/1997",158,3.84,"Multimedia dan Grafika Komputer",20000
"Wanita","Riau","8/31/1997",156,3.83,"Sistem Data dan Jaringan",10000
"Wanita","Manado","10/28/1997",149,3.42,"Sistem Informasi",10000
"Pria","Palu","2/8/1998",170,3,"Sistem Informasi",1000
"Wanita","Manado","2/17/1996",153,2.98,"Multimedia dan Grafika Komputer",10000
"Wanita","Tenga","11/6/1998",160,3.23,"Multimedia dan Grafika Komputer",10000
"Wanita","Gorontalo","4/16/1997",147,3.32,"Multimedia dan Grafika Komputer",10000
"Pria","Manado","12/5/1997",169,3,"Sistem Informasi",300
"Pria","Manado","2/13/1996",155,3.56,"Multimedia dan Grafika Komputer",10000
"Pria","Surabaya","8/19/1997",175,2.92,"Sistem Informasi",3000
"Pria","Tomohon","11/17/1996",170,3.56,"Sistem Informasi",5000
"Pria","Kotamobagu","5/9/1997",164,3.02,"Sistem Informasi",1000
"Pria","Kawangkoan","4/23/1998",165,3.45,"Multimedia dan Grafika Komputer",4000
"Wanita","Matani","2/24/1998",165,3.1,"Sistem Informasi",30000
"Wanita","Tomohon","6/27/2017",154,3.42,"Sistem Informasi",40000
"Wanita","Manado","1/11/1997",162,2.85,"Multimedia dan Grafika Komputer",10000
"Pria","Manado","8/29/1997",163,3.41,"Sistem Data dan Jaringan",3000
"Pria","manado","6/18/1997",155,2.06,"Multimedia dan Grafika Komputer",35000
